0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,1,1,1,0
0,1,2,1,1,1,1,1,1,1,1,1,3,1,0,1,1,3,1,1,0,34,1,1,1,1,3,1,2,1,0
0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,3,0,0
0,0,1,0,0,30,1,3,1,1,1,1,0,1,0,1,1,1,3,1,1,0,0,1,1,1,0,0,1,0,0
0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,3,0,0,3,0,0,1,1,1,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,1,1,0,1,1,1,0,3,0,0,0,0,1,0,0
0,0,1,0,1,1,3,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,2,0,0
0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0
0,0,1,0,1,1,3,1,1,1,1,0,0,1,0,5,0,1,0,0,3,0,0,1,1,1,0,0,1,0,0
0,0,3,0,0,0,0,0,0,0,3,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,3,0,0
0,1,1,1,0,1,1,1,3,1,1,0,1,0,0,37,0,0,1,0,1,0,0,0,0,3,0,1,1,1,0
0,1,31,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,2,1,2,1,1,1,1,1,0,1,35,1,0
0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,3,0,1,1,1,0
0,0,3,0,0,3,0,0,0,3,0,0,1,0,0,38,0,0,1,0,1,3,1,1,0,1,0,0,6,0,0
0,0,1,0,0,1,1,1,3,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0
0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,6,0,1,0,0,3,0,1,1,3,1,0,0,1,0,0
0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,2,1,2,0,0
0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
0,0,1,1,1,2,1,1,1,2,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0
0,0,1,0,0,3,0,0,0,3,0,0,0,1,3,1,3,1,1,1,1,12,1,60,1,0,1,0,1,0,0
0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0
0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,3,1,1,1,3,1,0,1,0,0
0,0,1,0,0,1,1,1,3,1,1,2,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0
0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0
0,1,32,1,3,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,3,1,33,1,0
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
